;Aporte;AportePred;AporteMediaMovilQ;AporteMediaMovilS;AporteMediaMovilA;AportePredMediaMovilQ;AportePredMediaMovilS;AportePredMediaMovilA;Empresa
2018-08-01;9890942050.0;0;;;;;;;Emp1
2018-09-01;15676517640.0;4956839036;;;;;;;Emp1
2018-10-01;43999883219.0;8557389732;23189114303.0;;;4504742923.0;;;Emp1
2018-11-01;13577520257.0;17559934896;24417973705.0;;;10358054555.0;;;Emp1
2018-12-01;108097000000.0;16741651816;55224801159.0;;;14286325481.0;;;Emp1
2019-01-01;40753824087.0;32601830845;54142781448.0;38665947876.0;;22301139186.0;13402941054.0;;Emp1
2019-02-01;78627557158.0;33834904638;75826127082.0;50122050394.0;;27726129100.0;19042091827.0;;Emp1
2019-03-01;73595395954.0;39875174186;64325592400.0;59775196779.0;;35437303223.0;24861814352.0;;Emp1
2019-04-01;100727000000.0;44002171203;84316651037.0;69229716243.0;;39237416676.0;30769277931.0;;Emp1
2019-05-01;76454007120.0;50394290150;83592134358.0;79709130720.0;;44757211846.0;36241670473.0;;Emp1
2019-06-01;75422951641.0;53130058126;84201319587.0;74263455993.0;;49175506493.0;42306404858.0;;Emp1
2019-07-01;85322766917.0;55331818472;79066575226.0;81691613132.0;60178780504.0;52952055583.0;46094736129.0;29748838592.0;Emp1
2019-08-01;137674000000.0;58141617010;99473239519.0;91532686939.0;70827368666.0;55534497869.0;50145854858.0;34593973342.0;Emp1
2019-09-01;44163497057.0;65259667341;89053421325.0;86627370456.0;73201283618.0;59577700941.0;54376603717.0;39619209035.0;Emp1
2019-10-01;58603855696.0;63445135885;80147117584.0;79606846405.0;74418281324.0;62282140079.0;57617097831.0;44193187881.0;Emp1
2019-11-01;71952693575.0;63042870999;58240015443.0;78856627481.0;79282879100.0;63915891408.0;59725194639.0;47983432556.0;Emp1
2019-12-01;134374000000.0;63761248725;88310183090.0;88681802208.0;81472629100.0;63416418536.0;61497059739.0;51901732298.0;Emp1
2020-01-01;42800287513.0;69307248867;83042327029.0;81594722307.0;81643167719.0;65370456197.0;63826298138.0;54960517134.0;Emp1
2020-02-01;38354446576.0;67272416056;71842911363.0;65041463403.0;78287075171.0;66780304549.0;65348097979.0;57746976418.0;Emp1
2020-03-01;79350554774.0;65096324801;53501762954.0;70905973022.0;78766671739.0;67225329908.0;65320874222.0;59848738970.0;Emp1
2020-04-01;99952953227.0;66150463257;72552651526.0;77797489278.0;78702167841.0;66173068038.0;65771762118.0;61694429974.0;Emp1
2020-05-01;129786000000.0;68612581963;103029836000.0;87436373682.0;83146500581.0;66619790007.0;66700047278.0;63212620958.0;Emp1
2020-06-01;33951079514.0;73009697498;87896677580.0;70699220267.0;79690511237.0;69257580906.0;68241455407.0;64869257573.0;Emp1
2020-07-01;73220297945.0;70234473303;78985792486.0;75769222006.0;78681972156.0;70618917588.0;68395992813.0;66111145475.0;Emp1
2020-08-01;82964186939.0;70444492763;63378521466.0;83204178733.0;74122821068.0;71229554521.0;68924672264.0;67136385122.0;Emp1
2020-09-01;74516518576.0;71317383206;76900334487.0;82398506034.0;76652239528.0;70665449757.0;69961515332.0;67641194777.0;Emp1
2020-10-01;36479319975.0;71538720888;64653341830.0;71819567158.0;74808528218.0;71100198952.0;70859558270.0;68315660194.0;Emp1
2020-11-01;39355501499.0;69129325065;50117113350.0;56747817408.0;72092095545.0;70661809720.0;70945682120.0;68822864699.0;Emp1
2020-12-01;5730860903.0;67095144322;27188560792.0;52044447640.0;61371833953.0;69254396758.0;69959923258.0;69100689332.0;Emp1
2021-01-01;4846837761.0;62924096198;16644400054.0;40648870942.0;58209046474.0;66382855195.0;68741527074.0;68568759943.0;Emp1
2021-02-01;52503485545.0;58994096108;21027061403.0;35572087376.0;59388133055.0;63004445543.0;66833127631.0;67878899948.0;Emp1
2021-03-01;81602109325.0;58556598759;46317477544.0;36753019168.0;59575762601.0;60158263688.0;64706330223.0;67333922778.0;Emp1
2021-04-01;49286321937.0;60104683968;61130638936.0;38887519495.0;55353543327.0;59218459612.0;62800657403.0;66830107837.0;Emp1
2021-05-01;65275500740.0;59380120181;65387977334.0;43207519368.0;49977668388.0;59347134303.0;61175789923.0;66060736022.0;Emp1
2021-06-01;55922342923.0;59773940066;56828055200.0;51572766372.0;51808607006.0;59752914738.0;59955589213.0;64957756236.0;Emp1
2021-07-01;121022000000.0;59517231348;80739947888.0;70935293412.0;55792082177.0;59557097198.0;59387778405.0;64064652739.0;Emp1
2021-08-01;77590737246.0;63608402274;84845026723.0;75116502028.0;55344294702.0;60966524563.0;60156829433.0;63494978532.0;Emp1
2021-09-01;98428355972.0;64536870078;99013697739.0;77920876470.0;57336947819.0;62554167900.0;61153541319.0;62929935771.0;Emp1
2021-10-01;30200974487.0;66783965156;68740022568.0;74739985228.0;56813752362.0;64976412503.0;62266754850.0;62533706127.0;Emp1
2021-11-01;428400000000.0;64361614465;185676443486.0;135260735105.0;89234127237.0;65227483233.0;63097003898.0;62136396910.0;Emp1
2021-12-01;43308635024.0;88438742310;167303203170.0;133158450455.0;92365608413.0;73194773977.0;67874470938.0;63915030076.0;Emp1
2022-01-01;20755169495.0;85456883728;164154601506.0;116447312037.0;93691302724.0;79419080168.0;72197746335.0;65792762370.0;Emp1
2022-02-01;38141813850.0;81185632905;34068539456.0;109872491471.0;92494496750.0;85027086314.0;75127284774.0;67642057103.0;Emp1
2022-03-01;52364518014.0;78346294887;37087167120.0;102195185145.0;90058030807.0;81662937173.0;77428855575.0;69291198447.0;Emp1
2022-04-01;109444000000.0;76633582572;66650110621.0;115402356064.0;95071170646.0;78721836788.0;79070458478.0;70668606664.0;Emp1
2022-05-01;53675678514.0;78795173431;71828065509.0;52948302483.0;94104518794.0;77925016963.0;81476051639.0;72286527768.0;Emp1
2022-06-01;218253000000.0;77141114325;127124226171.0;82105696646.0;107632073550.0;77523290109.0;79593113641.0;73733792290.0;Emp1
